rank,college,branch
1000,JNTUH College of Engineering,CSE
1500,OU College of Engineering,CSE
2000,CBIT Hyderabad,CSE
2500,Vasavi College of Engineering,CSE
3000,VNR Vignana Jyothi Institute of Technology,CSE
3500,GRIET Hyderabad,CSE
4000,Vasavi College of Engineering,CSE
4500,KMIT Hyderabad,CSE
5000,Chaitanya Bharathi Institute of Technology,CSE
6000,MGIT Hyderabad,CSE
7000,SNIST Hyderabad,CSE
8000,KME College of Engineering,CSE
9000,CMR College of Engineering,CSE
10000,Malla Reddy Engineering College,CSE
12000,Anurag University,CSE
15000,CMR Technical Campus,CSE
18000,ACE Engineering College,CSE
20000,MLR Institute of Technology,CSE
25000,Narayanamma Institute of Technology,CSE
30000,St. Mary's College of Engineering,CSE
35000,Sree Nidhi Institute of Technology,CSE
40000,Vignana Bharathi Institute of Technology,CSE
45000,Swarnandhra College of Engineering,CSE
50000,BVRIT Hyderabad,CSE
1000,JNTUH College of Engineering,ECE
1500,OU College of Engineering,ECE
2000,CBIT Hyderabad,ECE
2500,Vasavi College of Engineering,ECE
3000,VNR Vignana Jyothi Institute of Technology,ECE
3500,GRIET Hyderabad,ECE
4000,KMIT Hyderabad,ECE
4500,Chaitanya Bharathi Institute of Technology,ECE
5000,MGIT Hyderabad,ECE
6000,SNIST Hyderabad,ECE
7000,KME College of Engineering,ECE
8000,CMR College of Engineering,ECE
9000,Malla Reddy Engineering College,ECE
12000,Anurag University,ECE
15000,CMR Technical Campus,ECE
18000,ACE Engineering College,ECE
20000,MLR Institute of Technology,ECE
25000,Narayanamma Institute of Technology,ECE
30000,St. Mary's College of Engineering,ECE
35000,Sree Nidhi Institute of Technology,ECE
40000,Vignana Bharathi Institute of Technology,ECE
45000,Swarnandhra College of Engineering,ECE
50000,BVRIT Hyderabad,ECE
1000,JNTUH College of Engineering,Mechanical
1500,OU College of Engineering,Mechanical
2000,CBIT Hyderabad,Mechanical
2500,Vasavi College of Engineering,Mechanical
3000,VNR Vignana Jyothi Institute of Technology,Mechanical
3500,GRIET Hyderabad,Mechanical
4000,KMIT Hyderabad,Mechanical
4500,Chaitanya Bharathi Institute of Technology,Mechanical
5000,MGIT Hyderabad,Mechanical
6000,SNIST Hyderabad,Mechanical
7000,KME College of Engineering,Mechanical
8000,CMR College of Engineering,Mechanical
9000,Malla Reddy Engineering College,Mechanical
12000,Anurag University,Mechanical
15000,CMR Technical Campus,Mechanical
18000,ACE Engineering College,Mechanical
20000,MLR Institute of Technology,Mechanical
25000,Narayanamma Institute of Technology,Mechanical
30000,St. Mary's College of Engineering,Mechanical
35000,Sree Nidhi Institute of Technology,Mechanical
40000,Vignana Bharathi Institute of Technology,Mechanical
45000,Swarnandhra College of Engineering,Mechanical
50000,BVRIT Hyderabad,Mechanical
1000,JNTUH College of Engineering,IT
1500,OU College of Engineering,IT
2000,CBIT Hyderabad,IT
2500,Vasavi College of Engineering,IT
3000,VNR Vignana Jyothi Institute of Technology,IT
3500,GRIET Hyderabad,IT
4000,KMIT Hyderabad,IT
4500,Chaitanya Bharathi Institute of Technology,IT
5000,MGIT Hyderabad,IT
6000,SNIST Hyderabad,IT
7000,KME College of Engineering,IT
8000,CMR College of Engineering,IT
9000,Malla Reddy Engineering College,IT
12000,Anurag University,IT
15000,CMR Technical Campus,IT
18000,ACE Engineering College,IT
20000,MLR Institute of Technology,IT
25000,Narayanamma Institute of Technology,IT
30000,St. Mary's College of Engineering,IT
35000,Sree Nidhi Institute of Technology,IT
40000,Vignana Bharathi Institute of Technology,IT
45000,Swarnandhra College of Engineering,IT
50000,BVRIT Hyderabad,IT
1000,JNTUH College of Engineering,Civil
1500,OU College of Engineering,Civil
2000,CBIT Hyderabad,Civil
2500,Vasavi College of Engineering,Civil
3000,VNR Vignana Jyothi Institute of Technology,Civil
3500,GRIET Hyderabad,Civil
4000,KMIT Hyderabad,Civil
4500,Chaitanya Bharathi Institute of Technology,Civil
5000,MGIT Hyderabad,Civil
6000,SNIST Hyderabad,Civil
7000,KME College of Engineering,Civil
8000,CMR College of Engineering,Civil
9000,Malla Reddy Engineering College,Civil
12000,Anurag University,Civil
15000,CMR Technical Campus,Civil
18000,ACE Engineering College,Civil
20000,MLR Institute of Technology,Civil
25000,Narayanamma Institute of Technology,Civil
30000,St. Mary's College of Engineering,Civil
35000,Sree Nidhi Institute of Technology,Civil
40000,Vignana Bharathi Institute of Technology,Civil
45000,Swarnandhra College of Engineering,Civil
50000,BVRIT Hyderabad,Civil
